Mes,TIENDA,Segmento,Rango_edad,MABs
2025-12-01,Vicente Lopez,SILVER,25 - 29,8
2025-12-01,Vicente Lopez,SILVER,30 - 34,7
2025-12-01,Vicente Lopez,SILVER,35 - 39,9
2025-12-01,Vicente Lopez,SILVER,40 - 44,9
2025-12-01,Vicente Lopez,SILVER,45 - 49,4
2025-12-01,Vicente Lopez,SILVER,50 - 54,6
2025-12-01,Vicente Lopez,SILVER,55 - 59,9
2025-12-01,Vicente Lopez,SILVER,60 - 64,6
2025-12-01,Vicente Lopez,SILVER,65 - 69,6
2025-12-01,Vicente Lopez,SILVER,70 y más,22
2025-12-01,Vicente Lopez,SILVER,Sin clasificación,21
2025-12-01,Villa Urquiza,BRONZE,18 - 24,6
2025-12-01,Villa Urquiza,BRONZE,25 - 29,7
2025-12-01,Villa Urquiza,BRONZE,30 - 34,6
2025-12-01,Villa Urquiza,BRONZE,35 - 39,6
2025-12-01,Villa Urquiza,BRONZE,40 - 44,1
2025-12-01,Villa Urquiza,BRONZE,45 - 49,2
2025-12-01,Villa Urquiza,BRONZE,50 - 54,1
2025-12-01,Villa Urquiza,BRONZE,55 - 59,1
2025-12-01,Villa Urquiza,BRONZE,60 - 64,2
2025-12-01,Villa Urquiza,BRONZE,65 - 69,2
2025-12-01,Villa Urquiza,BRONZE,70 y más,3
2025-12-01,Villa Urquiza,GOLD,18 - 24,2
2025-12-01,Villa Urquiza,GOLD,25 - 29,4
2025-12-01,Villa Urquiza,GOLD,30 - 34,18
2025-12-01,Villa Urquiza,GOLD,35 - 39,13
2025-12-01,Villa Urquiza,GOLD,40 - 44,15
2025-12-01,Villa Urquiza,GOLD,45 - 49,11
2025-12-01,Villa Urquiza,GOLD,50 - 54,15
2025-12-01,Villa Urquiza,GOLD,55 - 59,9
2025-12-01,Villa Urquiza,GOLD,60 - 64,10
2025-12-01,Villa Urquiza,GOLD,65 - 69,9
2025-12-01,Villa Urquiza,GOLD,70 y más,7
2025-12-01,Villa Urquiza,GOLD,Sin clasificación,3
2025-12-01,Villa Urquiza,MENOR_EDAD,13 - 17,2
2025-12-01,Villa Urquiza,PLATINUM,25 - 29,1
2025-12-01,Villa Urquiza,PLATINUM,30 - 34,15
2025-12-01,Villa Urquiza,PLATINUM,35 - 39,27
2025-12-01,Villa Urquiza,PLATINUM,40 - 44,30
2025-12-01,Villa Urquiza,PLATINUM,45 - 49,25
2025-12-01,Villa Urquiza,PLATINUM,50 - 54,16
2025-12-01,Villa Urquiza,PLATINUM,55 - 59,16
2025-12-01,Villa Urquiza,PLATINUM,60 - 64,14
2025-12-01,Villa Urquiza,PLATINUM,65 - 69,2
2025-12-01,Villa Urquiza,PLATINUM,70 y más,11
2025-12-01,Villa Urquiza,PLATINUM,Sin clasificación,1
2025-12-01,Villa Urquiza,SELLER,18 - 24,1
2025-12-01,Villa Urquiza,SELLER,25 - 29,2
2025-12-01,Villa Urquiza,SELLER,30 - 34,5
2025-12-01,Villa Urquiza,SELLER,35 - 39,4
2025-12-01,Villa Urquiza,SELLER,40 - 44,4
2025-12-01,Villa Urquiza,SELLER,45 - 49,7
2025-12-01,Villa Urquiza,SELLER,50 - 54,3
2025-12-01,Villa Urquiza,SELLER,55 - 59,3
2025-12-01,Villa Urquiza,SELLER,60 - 64,2
2025-12-01,Villa Urquiza,SELLER,65 - 69,1
2025-12-01,Villa Urquiza,SELLER,Sin clasificación,11
2025-12-01,Villa Urquiza,SILVER,25 - 29,1
2025-12-01,Villa Urquiza,SILVER,30 - 34,3
2025-12-01,Villa Urquiza,SILVER,35 - 39,7
2025-12-01,Villa Urquiza,SILVER,40 - 44,4
2025-12-01,Villa Urquiza,SILVER,45 - 49,5
2025-12-01,Villa Urquiza,SILVER,50 - 54,7
2025-12-01,Villa Urquiza,SILVER,55 - 59,3
2025-12-01,Villa Urquiza,SILVER,60 - 64,3
2025-12-01,Villa Urquiza,SILVER,65 - 69,4
2025-12-01,Villa Urquiza,SILVER,70 y más,13
2025-12-01,Villa Urquiza,SILVER,Sin clasificación,15
2026-01-01,Caballito,BRONZE,18 - 24,10
2026-01-01,Caballito,BRONZE,25 - 29,6
2026-01-01,Caballito,BRONZE,30 - 34,7
2026-01-01,Caballito,BRONZE,35 - 39,9
2026-01-01,Caballito,BRONZE,40 - 44,6
2026-01-01,Caballito,BRONZE,45 - 49,8
2026-01-01,Caballito,BRONZE,50 - 54,4
2026-01-01,Caballito,BRONZE,55 - 59,3
2026-01-01,Caballito,BRONZE,60 - 64,6
2026-01-01,Caballito,BRONZE,65 - 69,5
2026-01-01,Caballito,BRONZE,70 y más,4
2026-01-01,Caballito,BRONZE,Sin clasificación,2
2026-01-01,Caballito,GOLD,18 - 24,4
2026-01-01,Caballito,GOLD,25 - 29,10
2026-01-01,Caballito,GOLD,30 - 34,26
2026-01-01,Caballito,GOLD,35 - 39,42
2026-01-01,Caballito,GOLD,40 - 44,19
2026-01-01,Caballito,GOLD,45 - 49,25
2026-01-01,Caballito,GOLD,50 - 54,26
2026-01-01,Caballito,GOLD,55 - 59,14
2026-01-01,Caballito,GOLD,60 - 64,11
2026-01-01,Caballito,GOLD,65 - 69,15
2026-01-01,Caballito,GOLD,70 y más,15
2026-01-01,Caballito,GOLD,Sin clasificación,2
2026-01-01,Caballito,MENOR_EDAD,13 - 17,2
2026-01-01,Caballito,PLATINUM,18 - 24,4
2026-01-01,Caballito,PLATINUM,25 - 29,11
2026-01-01,Caballito,PLATINUM,30 - 34,22
2026-01-01,Caballito,PLATINUM,35 - 39,43
2026-01-01,Caballito,PLATINUM,40 - 44,40
2026-01-01,Caballito,PLATINUM,45 - 49,35
2026-01-01,Caballito,PLATINUM,50 - 54,34
2026-01-01,Caballito,PLATINUM,55 - 59,22
2026-01-01,Caballito,PLATINUM,60 - 64,18
2026-01-01,Caballito,PLATINUM,65 - 69,6
2026-01-01,Caballito,PLATINUM,70 y más,12
2026-01-01,Caballito,SELLER,18 - 24,1
2026-01-01,Caballito,SELLER,25 - 29,3
2026-01-01,Caballito,SELLER,30 - 34,4
2026-01-01,Caballito,SELLER,35 - 39,5
2026-01-01,Caballito,SELLER,40 - 44,3
2026-01-01,Caballito,SELLER,45 - 49,9
2026-01-01,Caballito,SELLER,50 - 54,8
2026-01-01,Caballito,SELLER,55 - 59,3
2026-01-01,Caballito,SELLER,60 - 64,2
2026-01-01,Caballito,SELLER,70 y más,4
2026-01-01,Caballito,SELLER,Sin clasificación,15
2026-01-01,Caballito,SILVER,18 - 24,4
2026-01-01,Caballito,SILVER,25 - 29,14
2026-01-01,Caballito,SILVER,30 - 34,6
2026-01-01,Caballito,SILVER,35 - 39,11
2026-01-01,Caballito,SILVER,40 - 44,6
2026-01-01,Caballito,SILVER,45 - 49,12
2026-01-01,Caballito,SILVER,50 - 54,3
2026-01-01,Caballito,SILVER,55 - 59,10
2026-01-01,Caballito,SILVER,60 - 64,8
2026-01-01,Caballito,SILVER,65 - 69,4
2026-01-01,Caballito,SILVER,70 y más,20
2026-01-01,Caballito,SILVER,Sin clasificación,12
2026-01-01,Scalabrini,BRONZE,18 - 24,12
2026-01-01,Scalabrini,BRONZE,25 - 29,18
2026-01-01,Scalabrini,BRONZE,30 - 34,18
2026-01-01,Scalabrini,BRONZE,35 - 39,13
2026-01-01,Scalabrini,BRONZE,40 - 44,4
2026-01-01,Scalabrini,BRONZE,45 - 49,6
2026-01-01,Scalabrini,BRONZE,50 - 54,6
2026-01-01,Scalabrini,BRONZE,55 - 59,5
2026-01-01,Scalabrini,BRONZE,60 - 64,4
2026-01-01,Scalabrini,BRONZE,65 - 69,1
2026-01-01,Scalabrini,BRONZE,70 y más,4
2026-01-01,Scalabrini,BRONZE,Sin clasificación,2
2026-01-01,Scalabrini,GOLD,18 - 24,4
2026-01-01,Scalabrini,GOLD,25 - 29,12
